vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
,,,,,,,,,,,,,,,,,
VTS,04/01/2009 02:52,04/01/2009 03:02,1,2.63,-73.991957,40.721567,,,-73.993803,40.695922,CASH,8.9,0.5,,0,0,9.4
VTS,04/01/2009 03:31,04/01/2009 03:38,3,4.55,-73.982102,40.73629,,,-73.95585,40.76803,Credit,12.1,0.5,,2,0,14.6
VTS,03/01/2009 15:43,03/01/2009 15:57,5,10.35,-74.002587,40.739748,,,-73.869983,40.770225,Credit,23.7,0,,4.74,0,28.44
DDS,01/01/2009 20:52,01/01/2009 21:14,1,5,-73.974267,40.790955,,,-73.996558,40.731849,CREDIT,14.9,0.5,,3.05,0,18.45
DDS,24/01/2009 16:18,24/01/2009 16:24,1,0.4,-74.00158,40.719382,,,-74.008378,40.72035,CASH,3.7,0,,0,0,3.7
DDS,16/01/2009 22:35,16/01/2009 22:43,2,1.2,-73.989806,40.735006,,,-73.985021,40.724494,CASH,6.1,0.5,,0,0,6.6
DDS,21/01/2009 08:55,21/01/2009 09:05,1,0.4,-73.98405,40.743544,,,-73.98026,40.748926,CREDIT,5.7,0,,1,0,6.7
VTS,04/01/2009 04:31,04/01/2009 04:36,1,1.72,-73.992635,40.748362,,,-73.995585,40.728307,CASH,6.1,0.5,,0,0,6.6
CMT,05/01/2009 16:29,05/01/2009 16:40,1,1.6,-73.96969,40.749244,,,-73.990413,40.751082,Credit,8.7,0,,1.3,0,10
CMT,05/01/2009 18:53,05/01/2009 18:57,1,0.7,-73.955173,40.783044,,,-73.958598,40.774822,Cash,5.9,0,,0,0,5.9
CMT,05/01/2009 08:15,05/01/2009 08:16,1,0.3,-73.986824,40.750893,,,-73.984118,40.751437,Cash,2.9,0,,0,0,2.9
CMT,05/01/2009 06:21,05/01/2009 06:28,1,2.3,-74.0061,40.748432,,,-73.978437,40.762481,Cash,7.7,0,,0,0,7.7
DDS,20/01/2009 13:44,20/01/2009 13:52,2,2.1,-73.983339,40.744782,,,-73.98116,40.720835,CASH,7.3,0,,0,0,7.3